Game,Price,Anticheat Rank,Uptime Percentage,Avg Players (Jan),Game Age,Avalability
Apex Legends,75.75,0.5,0.772,16848374,60,34
Battlefield 1,21.05,0.1,0.98,660130.625,88,6
Battlefield 2042,88.23,0.7,0.877,908000,27,12
COD Warzone,61.26,0.45,0.724,21689618.18,47,21
Counter Strike 2 ,22.31,0.2,0.862,47933258,5,21
Fortnite,99.05,0.85,0.698,34365300.13,79,24
Overwatch 2,96.31,0.55,0.738,6510209.25,16,13
Rainbow Six Siege ,80.92,0.65,0.833,4453686.937,98,19
Team Fortress 2 ,12.94,0.2,1,12701285,196,3
The Finals ,79.91,0.6,0.834,2357840.625,2,14
Valorant,108.2,0.9,0.5,25438207,44,16
