,Valorant,Fortnite,Battlefield 2042,R6S,The Finals,Overwatch 2 ,APEX,Warzone,CS2,TF2,Battlefield 1
P1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P2,See HWID Info,See HWID Info,See HWID Info,See HWID Info,See HWID Info,See HWID Info,See HWID Info,See HWID Info,See HWID Info,See HWID Info,
I1,"""Network Error""",Battleye blocks game opening,"""Detected corrupted game files""","""File corruption detected"" Game Won't Open",EAC blocks game opening,Game Won't Open,EAC blocks game opening,Game Won't Open (No Warning),"Game Opens, Can't Join VAC Server","Game Opens, Can't Join VAC Server",Game fails integrity check
I3 1,Can't inject (no kernel32.dll) module list is empty (hooked).,Can't inject (no kernel32.dll) module list is empty (hooked). Game gives warning to close injector.,"Can't inject, VirtualAllocEx fails",Can't inject (no kernel32.dll) module list is empty (hooked),"Can't inject, VirtualAllocEx fails (handle downgraded?)","Account Perma Banned, new mobile needed",Can't inject (no kernel32.dll) module list is empty (hooked),Can't inject (no kernel32.dll) module list is empty (hooked),"Game Crashes, LoadLibrary blocked","Game Crashes, LoadLibrary blocked",Injects Successfully
I3 2,Injeciton Failed,Injeciton Failed,Injeciton Failed,Injeciton Failed,Injeciton Failed ,Injeciton Failed,Injeciton Failed,Injeciton Failed,Injects Successfully,Injects Successfully,Injects Successfully
I3 3,Injeciton Failed,Injeciton Failed,Injeciton Failed,Injeciton Failed,Injeciton Failed,"Account Perma Banned, new mobile needed",Injeciton Failed,Injeciton Failed,Injects Successfully,Injects Successfully,Injects Successfully
H1 Obfuscation,See Graph,See Graph,See Graph,See Graph,See Graph,See Graph,See Graph,See Graph,See Graph,See Graph,See Graph
H2 Debug,Prevents debugger from attaching,Prevents debugger from attaching,Prevents debugger from attaching,Prevents debugger from attaching,Prevents debugger from attaching,Game crashes,Prevents debugger from attaching,Game crashes,Can Attach ,Can Attach,Game crashes (after 10 seconds)
H3 IDA,Game won't open,Game Won't Open (No Warning),Game Won't Open (Gives Warning),Game Won't Open (No Warning),Game Won't Open (Gives Warning),Game Opens,Game Opens,Game Opens,Game Opens,Game Opens,Game Opens
H3 Cheat Engine,Game Crashes,Game Won't Open (Gives Warning),Game Won't Open (Gives Warning),Game Opens,Game Won't Open (Gives Warning),Game Opens,Game Won't Open (Gives Warning),Game Won't Open (No Warning),Game Opens,Game Opens,Game Opens
K1,Game won't open,Game won't open,Game won't open,Game won't open,Game won't open,"Game opens, Can Enter Lobby",Game won't open,"Game opens, Can Enter Lobby","Game opens, Can Enter Lobby","Game opens, Can Enter Lobby","Game opens, Can Enter Lobby"
K2,No Ban,No Ban,No Ban,No Ban,Kicked mid game no ban,No Ban,No Ban,No Ban,No Ban,No Ban,No Ban
K3,"Can inject, Permanent Suspension",Prevents injection,Prevents injection,Prevents injection,"Can inject, not kicked from game","Can Inject, No Ban","Can inject , no ban","Can Inject, No Ban","Can Inject, No Ban","Can Inject, No Ban","Can Inject, No Ban"
K4,Permanent Suspension,24hr Ban, then Permanent Suspension,"No Kick, No Ban","No Kick, No Ban",Permanent Suspension ,No Ban,"Game Crashed first time, account banned second time ",No Ban,No Ban,No Ban,No Ban
